"Directory","FileCount","TotalSizeMB"
"01_neocortex_framework\DIR-MCP-FR-001-mcp-server","10","0,08"
"01_neocortex_framework\DIR-MCP-FR-001-mcp-server\__pycache__","10","0,08"
"01_neocortex_framework\DIR-MCP-FR-001-mcp-server\tools","0","0"
"01_neocortex_framework\DIR-PRF-FR-001-profiles-main","4","0,06"
"01_neocortex_framework\DIR-PRF-FR-001-profiles-main\__pycache__","2","0,03"
"01_neocortex_framework\DIR-PRF-FR-001-profiles-main\templates","1","0"
"01_neocortex_framework\DIR-PRF-FR-001-profiles-main\users","0","0"
"01_neocortex_framework\DIR-PRF-FR-001-profiles-main\users\lucas_valerio","1","0,01"
"01_neocortex_framework\DIR-REF-FR-001-reference-main","0","0"
"01_neocortex_framework\DIR-REF-FR-001-reference-main\Arquivos de referência","3","0,04"
"01_neocortex_framework\DIR-SRC-FR-001-source-main","0","0"
"01_neocortex_framework\DIR-TEST-FR-001-tests-main","7","0,03"
"01_neocortex_framework\DIR-TEST-FR-001-tests-main\__pycache__","7","0,03"
"01_neocortex_framework\DIR-TMP-FR-001-templates-main","7","0,03"
"01_neocortex_framework\DIR-TMP-FR-001-templates-main\NC-TOOL-FR-TEMPLATE","2","0"
"01_neocortex_framework\DIR-TMP-FR-001-templates-main\NC-TOOL-FR-TEMPLATE\commands","1","0"
"01_neocortex_framework\DIR-TMP-FR-001-templates-main\NC-TOOL-FR-TEMPLATE\hooks","1","0"
"01_neocortex_framework\DIR-TMP-FR-001-templates-main\NC-TOOL-FR-TEMPLATE\hooks\__pycache__","1","0"
"01_neocortex_framework\DIR-TMP-FR-001-templates-main\NC-TOOL-FR-TEMPLATE\tests","1","0"
"01_neocortex_framework\DIR-TMP-FR-001-templates-main\NC-TOOL-FR-TEMPLATE\tests\__pycache__","1","0"
"01_neocortex_framework\DIR-VEC-FR-001-vector-db","0","0"
"01_neocortex_framework\lobes","6","0,06"
"01_neocortex_framework\lobes\backend_dev","3","0,01"
"01_neocortex_framework\lobes\cc-leak","9","0,09"
"01_neocortex_framework\lobes\courier","1","0"
"01_neocortex_framework\lobes\courier\DIR-ARC-FR-001-archive-main","0","0"
"01_neocortex_framework\lobes\courier\DIR-BAK-FR-001-backup-main","0","0"
"01_neocortex_framework\lobes\courier\DIR-CORE-FR-001-core-central","1","0"
"01_neocortex_framework\lobes\courier\DIR-CORE-FR-001-core-central\.agents","0","0"
"01_neocortex_framework\lobes\courier\DIR-CORE-FR-001-core-central\.agents\rules","1","0"
"01_neocortex_framework\lobes\courier\DIR-DOC-FR-001-docs-main","0","0"
"01_neocortex_framework\lobes\courier\DIR-MCP-FR-001-mcp-server","0","0"
"01_neocortex_framework\lobes\courier\DIR-PRF-FR-001-profiles-main","0","0"
"01_neocortex_framework\lobes\courier\DIR-SRC-FR-001-source-main","0","0"
"01_neocortex_framework\lobes\courier\DIR-TMP-FR-001-templates-main","0","0"
"01_neocortex_framework\lobes\engineer","1","0"
"01_neocortex_framework\lobes\engineer\DIR-ARC-FR-001-archive-main","0","0"
"01_neocortex_framework\lobes\engineer\DIR-BAK-FR-001-backup-main","0","0"
"01_neocortex_framework\lobes\engineer\DIR-CORE-FR-001-core-central","1","0"
"01_neocortex_framework\lobes\engineer\DIR-CORE-FR-001-core-central\.agents","0","0"
"01_neocortex_framework\lobes\engineer\DIR-CORE-FR-001-core-central\.agents\rules","1","0"
"01_neocortex_framework\lobes\engineer\DIR-DOC-FR-001-docs-main","0","0"
"01_neocortex_framework\lobes\engineer\DIR-MCP-FR-001-mcp-server","0","0"
"01_neocortex_framework\lobes\engineer\DIR-PRF-FR-001-profiles-main","0","0"
"01_neocortex_framework\lobes\engineer\DIR-SRC-FR-001-source-main","0","0"
"01_neocortex_framework\lobes\engineer\DIR-TMP-FR-001-templates-main","0","0"
"01_neocortex_framework\lobes\guardian","2","0"
"01_neocortex_framework\lobes\guardian\DIR-ARC-FR-001-archive-main","0","0"
"01_neocortex_framework\lobes\guardian\DIR-BAK-FR-001-backup-main","0","0"
"01_neocortex_framework\lobes\guardian\DIR-CORE-FR-001-core-central","0","0"
"01_neocortex_framework\lobes\guardian\DIR-CORE-FR-001-core-central\.agents","0","0"
"01_neocortex_framework\lobes\guardian\DIR-CORE-FR-001-core-central\.agents\rules","0","0"
"01_neocortex_framework\lobes\guardian\DIR-DOC-FR-001-docs-main","0","0"
"01_neocortex_framework\lobes\guardian\DIR-MCP-FR-001-mcp-server","0","0"
"01_neocortex_framework\lobes\guardian\DIR-PRF-FR-001-profiles-main","0","0"
"01_neocortex_framework\lobes\guardian\DIR-SRC-FR-001-source-main","0","0"
"01_neocortex_framework\lobes\guardian\DIR-TMP-FR-001-templates-main","0","0"
"01_neocortex_framework\lobes\indexer","0","0"
"01_neocortex_framework\NC-MET-FR-001-metrics","0","0"
"01_neocortex_framework\neocortex","2","0,02"
"01_neocortex_framework\neocortex\__pycache__","2","0,03"
"01_neocortex_framework\neocortex\agent","1","0,01"
"01_neocortex_framework\neocortex\agent\__pycache__","1","0,02"
"01_neocortex_framework\neocortex\cli","2","0,01"
"01_neocortex_framework\neocortex\cli\__pycache__","2","0,01"
"01_neocortex_framework\neocortex\core","26","0,3"
"01_neocortex_framework\neocortex\core\__pycache__","29","0,33"
"01_neocortex_framework\neocortex\core\adapters","2","0,01"
"01_neocortex_framework\neocortex\core\adapters\__pycache__","2","0,01"
"01_neocortex_framework\neocortex\core\config","4","0,03"
"01_neocortex_framework\neocortex\core\config\__pycache__","3","0,03"
"01_neocortex_framework\neocortex\core\hooks","3","0,02"
"01_neocortex_framework\neocortex\core\hooks\__pycache__","4","0,03"
"01_neocortex_framework\neocortex\core\review","3","0,01"
"01_neocortex_framework\neocortex\core\review\__pycache__","2","0,01"
"01_neocortex_framework\neocortex\core\review\validators","4","0,01"
"01_neocortex_framework\neocortex\core\review\validators\__pycache__","4","0,01"
"01_neocortex_framework\neocortex\core\services","14","0,12"
"01_neocortex_framework\neocortex\core\services\__pycache__","14","0,16"
"01_neocortex_framework\neocortex\core\utils","5","0,02"
"01_neocortex_framework\neocortex\core\utils\__pycache__","5","0,02"
"01_neocortex_framework\neocortex\core\workers","1","0,01"
"01_neocortex_framework\neocortex\core\workers\__pycache__","1","0,02"
"01_neocortex_framework\neocortex\infra","15","0,3"
"01_neocortex_framework\neocortex\infra\__pycache__","14","0,34"
"01_neocortex_framework\neocortex\infra\llm","5","0,04"
"01_neocortex_framework\neocortex\infra\llm\__pycache__","5","0,05"
"01_neocortex_framework\neocortex\mcp","3","0,04"
"01_neocortex_framework\neocortex\mcp\__pycache__","3","0,04"
"01_neocortex_framework\neocortex\mcp\tools","36","0,27"
"01_neocortex_framework\neocortex\mcp\tools\__pycache__","62","0,35"
"01_neocortex_framework\neocortex\repositories","3","0,02"
"01_neocortex_framework\neocortex\repositories\__pycache__","3","0,02"
"01_neocortex_framework\neocortex\schemas","3","0,02"
"01_neocortex_framework\neocortex\schemas\__pycache__","1","0"
"01_neocortex_framework\neocortex_framework.egg-info","6","0"
"01_neocortex_framework\scripts","59","0,56"
"01_neocortex_framework\scripts\__pycache__","33","0,38"
"01_neocortex_framework\tests","4","0,03"
"01_neocortex_framework\tests\.pytest_cache","3","0"
"01_neocortex_framework\tests\.pytest_cache\v","0","0"
"01_neocortex_framework\tests\.pytest_cache\v\cache","2","0"
"01_neocortex_framework\tests\__pycache__","2","0,04"
