"RelativePath","SizeKB","LastWriteTime"
"01_neocortex_framework\.ruff_cache\0.15.10\13412347146680799646","0,54","11/04/2026 01:28:29"
"01_neocortex_framework\.ruff_cache\0.15.10\1411471634419323805","0,26","13/04/2026 09:57:13"
"01_neocortex_framework\.ruff_cache\0.15.10\14855418947345051467","0,16","13/04/2026 01:09:26"
"01_neocortex_framework\.ruff_cache\0.15.10\1543203020866677561","0,19","13/04/2026 01:18:30"
"01_neocortex_framework\.ruff_cache\0.15.10\15628550327022762259","0,26","11/04/2026 00:09:00"
"01_neocortex_framework\.ruff_cache\0.15.10\16094737912396621217","0,62","14/04/2026 12:23:40"
"01_neocortex_framework\.ruff_cache\0.15.10\16221333190879873638","0,19","13/04/2026 09:56:32"
"01_neocortex_framework\.ruff_cache\0.15.10\1628724506062075980","1,85","11/04/2026 02:47:15"
"01_neocortex_framework\.ruff_cache\0.15.10\16314318349256176585","0,12","13/04/2026 09:56:37"
"01_neocortex_framework\.ruff_cache\0.15.10\16810065437183672300","0,61","11/04/2026 01:05:11"
"01_neocortex_framework\.ruff_cache\0.15.10\2549096732254189752","1,9","14/04/2026 16:44:05"
"01_neocortex_framework\.ruff_cache\0.15.10\2903388380094145079","1,21","13/04/2026 08:05:08"
"01_neocortex_framework\.ruff_cache\0.15.10\3313635303767751428","0,34","13/04/2026 01:12:13"
"01_neocortex_framework\.ruff_cache\0.15.10\3506857435415012520","0,23","13/04/2026 09:56:25"
"01_neocortex_framework\.ruff_cache\0.15.10\420665411919636229","4,75","14/04/2026 10:10:04"
"01_neocortex_framework\.ruff_cache\0.15.10\4783690116858016499","0,16","13/04/2026 12:46:40"
"01_neocortex_framework\.ruff_cache\0.15.10\4938348547397048850","0,24","13/04/2026 21:36:20"
"01_neocortex_framework\.ruff_cache\0.15.10\4990913360924600819","0,11","14/04/2026 09:51:25"
"01_neocortex_framework\.ruff_cache\0.15.10\5643881555694780987","0,19","10/04/2026 17:47:30"
"01_neocortex_framework\.ruff_cache\0.15.10\6026120984677951683","0,11","13/04/2026 01:28:14"
"01_neocortex_framework\.ruff_cache\0.15.10\7233578508289527834","0,12","14/04/2026 13:51:35"
"01_neocortex_framework\.ruff_cache\0.15.10\7751473456576577939","0,16","13/04/2026 09:56:36"
"01_neocortex_framework\.ruff_cache\0.15.10\7776471151663892700","0,14","13/04/2026 00:56:01"
"01_neocortex_framework\.ruff_cache\0.15.10\8165931719813812650","0,35","13/04/2026 09:56:35"
"01_neocortex_framework\.ruff_cache\0.15.10\9116020987652917743","0,19","13/04/2026 12:51:16"
"01_neocortex_framework\.ruff_cache\0.15.10\9499092301389570202","0,15","13/04/2026 13:27:07"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000000000111101011100001f10b314edea64dcc0fb9bb9533.lance","50,62","14/04/2026 11:20:33"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000000001001100011110100c46a9344dd8e20a298e1f09bd8.lance","10,92","14/04/2026 11:11:18"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000000010101100010001006e55df46be82bc680bdbeef7aa.lance","30,68","14/04/2026 11:23:25"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000000001100010100100111e2b4c64f7e889deb040174474d.lance","28,68","14/04/2026 12:17:48"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000000011110000010000011ad2cc45868866fb8b8e9ee307.lance","14,55","14/04/2026 11:26:56"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000000101111110111000009fb0934b7baf65353573e462ac.lance","6,99","14/04/2026 12:09:57"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000000011000001000011000a7b53a42e3aa8580bea9b668c0.lance","3,17","14/04/2026 12:20:20"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00000001110111100100100195bdf94c17ad04970d8e4a2efc.lance","20,8","14/04/2026 11:22:28"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000000011110111011100010e3c6774978804b914950ac420b.lance","85,31","14/04/2026 11:10:04"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000000100000000001011101b13d8c4e70849e9df3646beb19.lance","416,22","14/04/2026 12:08:55"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000001001011000101000001516a94be89c583976389cf0a5.lance","24,93","14/04/2026 12:11:12"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000001010010100000000011feb6d459e8345425adc4488ae.lance","7,11","14/04/2026 11:14:16"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000001100000011011011102e5d474abd88c81f41edda3873.lance","20,62","14/04/2026 11:21:36"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00000011000010111011011061a1f5409ab5e14885168cef95.lance","9,11","14/04/2026 11:17:38"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00000011000110101000001006c82243e7953fb7a6d2f24514.lance","7,05","14/04/2026 11:21:59"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000000110010001110011000dd164240169c55af63d071c76d.lance","20,99","14/04/2026 12:12:30"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00000011101000000010111003ccaa4993b37da7d9a56d1e00.lance","12,92","14/04/2026 11:25:52"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000000111111001001100011832bdd4528b07058090caa97d1.lance","3,24","14/04/2026 11:21:10"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000001000010010111111100249e8449178c6db717c544bce6.lance","23,06","14/04/2026 12:20:46"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000001001101000000010110f1126e495eb09f8bc53ed2b685.lance","26,74","14/04/2026 11:20:53"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000001001101111101101101e016344215897801f7ca745f6b.lance","7,05","14/04/2026 12:19:29"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000001001111110100110110debb8d4538b7644f661b65bd3c.lance","39,75","14/04/2026 12:21:06"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00000101000000111111010110516f42249f31da9df212d023.lance","6,99","14/04/2026 11:26:51"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000001010000110110101101fefade499786d18b5a01245b33.lance","65,69","14/04/2026 11:22:12"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000001010010011110000111519ae746b3876922e9652ccb07.lance","26,49","14/04/2026 12:11:09"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000001010100110000001111a9503649a689def4a8a8ad6a57.lance","64,31","14/04/2026 11:14:01"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000010101110101100101105ab4f44a8ebcc0647c968cc05f.lance","13,05","14/04/2026 11:09:44"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000010101111100010000008afb174f9db46a9c7b35e66b2d.lance","50,62","14/04/2026 11:12:11"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000001010111110110010110e0f4be41bf83f7ffa95a79b93a.lance","16,74","14/04/2026 11:09:53"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000001011001011111010110b6e5ce42a49e2d6c896acf4649.lance","3,17","14/04/2026 12:18:07"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000001011011100100100111483c244b678b7bab588ce4f278.lance","28,81","14/04/2026 12:15:46"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000001011101011001111111632dcc406bb4b5b747262abd8e.lance","67","14/04/2026 12:18:39"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000011000101001011100100b61f5473ab7d8db69f1c86c07.lance","5,17","14/04/2026 12:12:20"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000001100100111111100010b2a90a483f893f213aaa4c9750.lance","6,99","14/04/2026 12:19:26"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00000110011001000001111139b90149679f8b3bf2bf5436a0.lance","28,81","14/04/2026 11:19:55"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000011010000001011001013a4f0940dc8a977153f7d6937a.lance","111,94","14/04/2026 11:13:16"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000011011100001001011117ab9ea413eac57b0ee9537cb93.lance","7,05","14/04/2026 12:19:29"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000011101100001101000109b031a48518164a48b590a52d2.lance","14,74","14/04/2026 11:25:14"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000010000001001101110001b1af1047bb87f905c78dc4eec8.lance","37,38","14/04/2026 11:10:34"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000010000010100101011110f790f34cedb53af462748b6d2b.lance","5,17","14/04/2026 11:16:12"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000010000110110110000110fac9024b5ea80c5960d6d4bad1.lance","129","14/04/2026 11:11:48"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000010001110010110001111a730c44afa9ead4a1523488de7.lance","11,42","14/04/2026 12:12:47"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000100100110011111110005914cd4bafb4a984125e2e3281.lance","31,88","14/04/2026 12:21:04"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000100101011011111111119a02b24a1abd6f46276610c209.lance","5,11","14/04/2026 11:20:43"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000101000011100010100103011e64cbcacb0a70d0952ad03.lance","55,19","14/04/2026 11:20:53"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000010100110001101110101e2f8464df18e7fe5a3053d4843.lance","55,94","14/04/2026 11:21:16"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00001010100010111010111032ab60461ab5f4669cf6f74ac4.lance","7,05","14/04/2026 11:21:13"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00001010110100000010001107ef35436a99fc40893e4db917.lance","7,05","14/04/2026 12:12:17"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000101111110000101000010a4c2d479daf8167a35f12f740.lance","85,31","14/04/2026 12:16:51"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000011000101001000000001f2c6f94e7899fbb60a725f6eeb.lance","35,94","14/04/2026 11:16:36"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000110001011101001010002b4ccc4f2e8d549bc7493c48a1.lance","10,99","14/04/2026 11:12:00"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000011000110110001110000b8e46e434280e1ab43bba9f8b2.lance","37,81","14/04/2026 12:11:48"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00001100100010111101111086a82249739ef46b3a5d823b7c.lance","7,05","14/04/2026 12:15:20"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000110010011101000001102f35df47b9b851d8343f8fa09d.lance","26,18","14/04/2026 11:11:05"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000110010100011000010008f9a114a768a8d5953b5c5fac1.lance","23,06","14/04/2026 11:26:07"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000110010100111000011017fb02d435dbc7da03c1a4fd41a.lance","11,42","14/04/2026 12:19:55"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000011001110000010101010a70aca489984d31f35249a5440.lance","47,06","14/04/2026 12:10:35"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000110011110001111010002e7d734b35889ab07add13bf80.lance","5,17","14/04/2026 12:10:10"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00001101010011100111110189a2d34a669c5c1745809d2dad.lance","14,17","14/04/2026 11:14:33"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000110101011110000001114d8d6941cbaa18cc5f5b2973a6.lance","16,74","14/04/2026 11:11:28"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00001101011110000000100177858e42cabf5a3d524f68df03.lance","65,69","14/04/2026 12:19:32"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000011010111110100000010691c3b4830846697e9b4a8d0d8.lance","3,17","14/04/2026 11:20:41"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000011011001000100010001e698a74dbd9e836b1f33f811c4.lance","3,17","14/04/2026 11:10:35"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000011100010110011101110ecadb64c729ee9ba14e76df569.lance","14,8","14/04/2026 11:11:30"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000011100011011110000111cff39946429976359abe6ca7dd.lance","23,06","14/04/2026 11:13:11"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00001110011000111100111085bfb94bcbb418b39727c1ffc6.lance","20,43","14/04/2026 12:17:26"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00001110100110110101110166af314136ba988ebb46b7dc98.lance","18,55","14/04/2026 12:12:10"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000011101010000101101101cd27bd41dc8c97c0299ede4f77.lance","38,5","14/04/2026 11:12:38"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000011101100011010101010d5e062410a9cc1a4138f114f09.lance","206,96","14/04/2026 12:08:28"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00001110111001000110100052c327486ca9beaecf7d665be2.lance","63,12","14/04/2026 12:18:43"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0000111100000100100011108b2afa47aba040d45fd66e76f2.lance","28,81","14/04/2026 12:08:30"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00010000001010100111000031ef6345b698105a1ea6da9ea3.lance","14,55","14/04/2026 11:25:38"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00010000011010110011100013437a4140a2928ba15d00c590.lance","34,06","14/04/2026 11:10:39"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001000001111101000000003e6fa34b409d7128ffbfb1a7f7.lance","26,49","14/04/2026 12:09:50"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001000010010100101001111e1186477eb0f5bcabac31d507.lance","12,61","14/04/2026 11:24:31"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001000010110001110010004013194b428310b4df00dc2fbf.lance","25,93","14/04/2026 12:17:27"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001000010110111100111112f2815449d9384537a350ae941.lance","21,05","14/04/2026 12:15:50"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000100010001101010111010ee3bbe42d38f74d6ba7aeec0c2.lance","10,8","14/04/2026 11:24:34"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000100010011011010011010b4bb274e238556f239ae9172be.lance","10,67","14/04/2026 12:20:19"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001000110000010110101100dc19c463a9751faac3c654da4.lance","28,68","14/04/2026 11:10:59"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001000110100010110011113b69e64716b53e8b2b5df8aa03.lance","5,11","14/04/2026 12:10:15"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00010001101011010010011087b0514ef3a8c283fb8fdb5a06.lance","10,8","14/04/2026 12:20:20"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000100011111110111110010b2b6c041df9e61e40c2614f437.lance","19,18","14/04/2026 11:22:25"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000100100110011010001001e94edf4222b34471ab35d0aec1.lance","12,8","14/04/2026 11:21:04"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001001010010100111111014667c9442db1f9a127f1b7ce90.lance","22,31","14/04/2026 11:15:05"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001001011001110011100112679dd41f19ed74ade9d7a1c1e.lance","9,11","14/04/2026 11:11:15"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001001011100001000010001500e04d60989bf14d86398ff4.lance","7,05","14/04/2026 11:21:55"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00010011011011001100110139ebc24ed1a9a9faa4c872678e.lance","77,25","14/04/2026 11:10:00"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00010011110010010000010070b55c454fb2f7d97bf0a4218f.lance","7,11","14/04/2026 11:11:15"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00010011110010011111100136014b41abad0cc5d387fa1b9c.lance","5,11","14/04/2026 11:09:16"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00010011110011000110000072290442959f60ec03ad3bbbaf.lance","26,99","14/04/2026 12:12:43"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000100111111000100101001a19ae24231812d99619bf11f02.lance","37,19","14/04/2026 11:12:21"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001010001011111110111110edbae407e9dae40854d0fc90d.lance","3,17","14/04/2026 12:20:05"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00010100111000001110011112f28644e0808f020d3bc36afe.lance","20,99","14/04/2026 11:12:17"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001010011100011011001002c3c27479b84c9c27f8ed24ff0.lance","52,31","14/04/2026 11:22:54"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001010100000110010010115021cf4a348cd595044a96d55b.lance","14,17","14/04/2026 12:17:24"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000101011001010000011111877f554ab3bb51aa942632381a.lance","208,27","14/04/2026 11:19:35"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000101011011110111110011ca5d7847deacd10848e7d54da8.lance","7,05","14/04/2026 12:12:21"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001010111011011110000012f6ef44b54969cd0cc7abeb19f.lance","91,5","14/04/2026 12:10:47"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000101101000100110010100275b6b4272844156b644fa89f2.lance","14,74","14/04/2026 11:17:49"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000101110000100000110000b9d84e41dd965c1a81d8dca7a5.lance","16,86","14/04/2026 12:17:08"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000101110100010011001000d090834af3a4f0c5eb70d3cfd3.lance","3,17","14/04/2026 11:24:07"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00010111110000101000101123588e484783048392eb74e76b.lance","38,62","14/04/2026 11:20:03"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001100000001001100111102e7daa4c5ea5582a7d861a39ba.lance","22,31","14/04/2026 12:17:50"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000110000001001100011100a1aa7141c1a10f1a66e077632c.lance","6,99","14/04/2026 12:15:20"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00011000100011111010010138c7b042b5ab30a6faae3f3627.lance","19,74","14/04/2026 12:08:36"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000110001001110110110110d0312a46c896b7bf1ace9b1056.lance","22,81","14/04/2026 12:18:02"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000110001100000000111100d348834363a84c0d4ff3e0305b.lance","18,55","14/04/2026 11:21:30"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000110001110000111101001a4cf0b4a8993578d53d8580a4f.lance","12,8","14/04/2026 12:08:22"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00011001000011010000010129ca5d40ec95b5060099cc5811.lance","50,25","14/04/2026 11:25:10"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001100100111010010110016bc2b148de927aa3c14f5bfcb3.lance","8,99","14/04/2026 11:12:11"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000110010110111011011111a9ce774604a897cb65e4dd4df1.lance","37,19","14/04/2026 12:19:42"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000110010111001000011001df8fea41f2bd97b1f6dc895fc1.lance","10,86","14/04/2026 11:18:40"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00011001110011001000100175fc6648c3920769505801cf6b.lance","7,05","14/04/2026 12:19:22"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\00011001111000000000110150bb5f42b88e2fb5d1927d6768.lance","67,12","14/04/2026 12:16:46"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001101000111010000101100f4b1f49179deb8597bf00a24f.lance","5,17","14/04/2026 11:12:10"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\0001101010001110100000003531ed419ba07bf9f9d5699d4f.lance","129","14/04/2026 12:09:00"
"01_neocortex_framework\data\vector_db\neocortex_kgs.lance\data\000110110001001111111111b6c1d24277b9dbf043f8558930.lance","29,87","14/04/2026 11:16:46"
